,azadicarboxylate_SMILES_index,phosphine_SMILES_index,solvent_SMILES_index,substrate_concentration_index,azadicarb_equiv_index,phos_equiv_index,temperature_index,yield
156999,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC1=CC=CC=C1,0.2,1.9,1.9,45,<Enter Response>
168499,CN(C(/N=N/C(N(C)C)=O)=O)C,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
123499,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CCCCP(CCCC)CCCC,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
156499,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC#N,0.2,1.9,1.9,45,<Enter Response>
3499,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,CCCCP(CCCC)CCCC,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
170999,CN(C(/N=N/C(N(C)C)=O)=O)C,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
5499,CC(C)(OC(/N=N/C(OC(C)(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=CN(C)C,0.2,1.9,1.9,45,<Enter Response>
125999,O=C(N1CCCCC1)/N=N/C(N2CCCCC2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
95999,O=C(OCC1=CC=CC=C1)/N=N/C(OCC2=CC=CC=C2)=O,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.9,1.9,45,<Enter Response>
155974,CN(C(/N=N/C(N(C)C)=O)=O)C,CP(C1=CC=CC=C1)C2=CC=CC=C2,C1CCOC1,0.2,1.7,1.9,45,<Enter Response>
